time (s),NA (moles),NB (moles),CA (mol/L),CB (mol/L),aA,aB,XA,r (1/s)
0.0,10.0,0.0,0.02672867719776548,0.0,1.0,0.0,0.0,2.807180064018863
150.0,9.181896059521412,0.4205496032658237,0.024541993583838267,0.001124073459134054,0.9181896059521412,0.04205496032658237,0.08181039404785881,2.577523556818186
300.0,8.861809065381282,0.8365345805094382,0.02368644338968081,0.0022359462767204932,0.8861809065381282,0.08365345805094382,0.11381909346187183,2.4876693739479965
600.0,8.601281867487701,1.5834246581936082,0.02299008865230722,0.004232284655583909,0.8601281867487701,0.15834246581936082,0.13987181325122985,2.414534698341841
900.0,7.7397705711717215,2.1426123836046402,0.02068738291816139,0.005726919476130329,0.7739770571171721,0.214261238360464,0.22602294288282784,2.1726929647473145
1200.0,7.001533917669991,2.8211463327095148,0.01871417399746075,0.007540550965465252,0.7001533917669991,0.2821146332709515,0.2998466082330009,1.9654566431235085
1500.0,6.80987994744599,3.4086589264984966,0.018201908287082,0.009110894412366012,0.6809879947445989,0.3408658926498497,0.319012005255401,1.9116559226832204
1800.0,5.991749706178654,3.7534953174895493,0.01601515437462554,0.01003259647045024,0.5991749706178654,0.3753495317489549,0.4008250293821346,1.6819920323775597
2100.0,5.13643486473094,4.431709699430248,0.01372901094467415,0.011845373799027737,0.513643486473094,0.44317096994302474,0.486356513526906,1.441889755240412
2500.0,5.049216266932807,4.8538378207972634,0.013495887170055345,0.012973666428239551,0.5049216266932807,0.4853837820797263,0.49507837330671933,1.417405924345352
3000.0,4.275610060254272,5.746139106116174,0.011428140112405505,0.01535866973008359,0.42756100602542724,0.5746139106116174,0.5724389939745728,1.2002407322664284
3500.0,3.6517055581479814,6.180574075683649,0.009760525908502342,0.016519856936582603,0.3651705558147981,0.6180574075683649,0.6348294441852019,1.0250995042499886
4000.0,3.277467387505682,6.834938618429116,0.008760236782684313,0.018268886799853303,0.3277467387505682,0.6834938618429116,0.6722532612494317,0.9200441110677936
4500.0,2.705425137742984,7.239074399966724,0.007231243518945243,0.01934908828473184,0.2705425137742984,0.7239074399966724,0.7294574862257016,0.7594615511367591
5300.0,2.203707094349342,7.651306263579338,0.005890217556328929,0.02045092952604533,0.22037070943493423,0.7651306263579338,0.7796292905650658,0.6186202622194409
6000.0,1.8059863743998525,8.158129300971016,0.004827162682489649,0.021805600462328642,0.18059863743998525,0.8158129300971015,0.8194013625600147,0.5069728946104972
7000.0,1.3313545519669405,8.640929001069416,0.003558534605530004,0.023096060195839457,0.13313545519669406,0.8640929001069416,0.8668645448033059,0.3737351956422361
8000.0,1.0935221067759222,8.721259265320723,0.0029228399400634065,0.023310772366077894,0.10935221067759222,0.8721259265320723,0.8906477893224078,0.30697134577052754
9000.0,0.7889933868547468,9.316821884885574,0.002108874954841223,0.024902632467018345,0.07889933868547469,0.9316821884885573,0.9211006613145253,0.2214846506221368
10000.0,0.6388936190841261,9.679091173269844,0.0017076781308211747,0.025870930353807085,0.06388936190841261,0.9679091173269845,0.9361106380915875,0.17934894305218202
